dateReferentiel	route	longueur	prD	depPrD	concessionPrD	absD	cumulD	xD	yD	zD	prF	depPrF	concessionPrF	absF	cumulF	xF	yF	zF	anneeMesureTrafic	typeComptageTrafic	TMJA	ratioPL
2018-01-01	A0004	6472	432	57	C	928	433009	1016315,3	6860893,05	0	439	67	C	400	439481	1021881,23	6861062,11	0	2018	1	30827	21,41
2018-01-01	A0004	16600	439	67	C	400	439481	1021881,23	6861062,11	0	456	67	C	0	456081	1037980,18	6862002,82	0	2018	1	27044	22,41
2018-01-01	A0004	6950	456	67	C	0	456081	1037980,18	6862002,82	0	462	67	C	950	463031	1044190,47	6860022,04	0	2018	1	30511	20,71
2018-01-01	A0004	4100	468	67	C	300	468381	1046440,95	6855266,43	0	472	67	C	400	472481	1048518,76	6851855,89	0	2018		70757	11,6
2018-01-01	A0004	2300	472	67	C	400	472481	1048518,76	6851855,89	0	0	67	N	0	474781	1048610,95	6849594,05	0	2018		85818	10,41
2018-01-01	A0004	226	0	67	N	0	474781	1048610,95	6849594,05	0	0	67	N	226	475007	1048569,31	6849374,82	0	2018	1	108405	12,4
2018-01-01	A0004	638,5	0	67	N	226	475007	1048569,31	6849374,82	0	1	67	N	508,5	475645,5	1048447,26	6848755,84	0	2018	1	108405	12,4
2018-01-01	A0004	147,5	1	67	N	508,5	475645,5	1048447,26	6848755,84	0	1	67	N	656	475793	1048415,5	6848613,59	0	2018	1	108405	12,4
2018-01-01	A0004	1352	1	67	N	656	475793	1048415,5	6848613,59	0	3	67	N	0	477145	1047895,66	6847392,25	0	2018	1	108405	12,4
2018-01-01	A0004	1207	3	67	N	0	477145	1047895,66	6847392,25	0	4	67	N	200	478352	1048123,04	6846217,79	0	2018	1	102477	11,9
2018-01-01	A0004	321,3	4	67	N	200	478352	1048123,04	6846217,79	0	4	67	N	521,3	478673,3	1048154,72	6845900,31	0	2018	1	97924	
2018-01-01	A0004	241,7	4	67	N	521,3	478673,3	1048154,72	6845900,31	0	4	67	N	763	478915	1048173,52	6845660,94	0	2018	1	97924	
2018-01-01	A0004	250	4	67	N	763	478915	1048173,52	6845660,94	0	5	67	N	0	479165	1048193,09	6845413,36	0	2018	1	97924	
2018-01-01	A0004	881	6	67	N	0	480174	1048338,68	6844409,48	0	6	67	N	881	481055	1048920,06	6843837,87	0	2018	1	123642	
2018-01-01	A0004	131	6	67	N	881	481055	1048920,06	6843837,87	0	6	67	N	1012	481186	1049024,84	6843772,13	0	2018	1	123642	
2018-01-01	A0005	310	0	77	C	0	0	673326,69	6832720,47	0	0	77	C	310	310	673608,57	6832591,47	0	2018	1	21186	12,9
2018-01-01	A0005	6422	0	77	C	310	310	673608,57	6832591,47	0	6	77	C	732	6732	679850,48	6831696,57	0	2018	1	21186	12,9
2018-01-01	A0005	7259	6	77	C	732	6732	679850,48	6831696,57	0	13	77	C	991	13991	684887,85	6826591,33	0	2018	1	22931	12,29
2018-01-01	A0005	17477	13	77	C	991	13991	684887,85	6826591,33	0	31	77	C	468	31468	695806,06	6813081,55	0	2018	1	21855	12,92
2018-01-01	A0005	7525	31	77	C	468	31468	695806,06	6813081,55	0	38	77	C	993	38993	701608,98	6808457,39	0	2018	1	19131	13,7
2018-01-01	A0005	8332	38	77	C	993	38993	701608,98	6808457,39	0	47	77	C	325	47325	709825,97	6807720,86	0	2018	1	16406	13,51
2018-01-01	A0005	1043	47	77	C	325	47325	709825,97	6807720,86	0	48	89	C	368	48368	710816,35	6807310,14	0	2018	1	16406	13,51
2018-01-01	A0005	57	48	89	C	368	48368	710816,35	6807310,14	0	48	89	C	425	48425	710851,89	6807293,25	0	2018	1	16406	13,51
2018-01-01	A0005	15514	48	89	C	425	48425	710851,89	6807293,25	0	63	89	C	939	63939	721729,43	6796579,09	0	2018	1	16406	13,51
2018-01-01	A0005	24137	63	89	C	939	63939	721729,43	6796579,09	0	88	89	C	76	88076	744434,89	6793544,49	0	2018	1	14404	13,91
2018-01-01	A0005	363	88	89	C	76	88076	744434,89	6793544,49	0	88	89	C	439	88439	744803,97	6793595,49	0	2018	1	14003	14,15
2018-01-01	A0005	26676	88	89	C	439	88439	744803,97	6793595,49	0	115	10	C	115	115115	770171,07	6797223,85	0	2018	1	14003	14,15
2018-01-01	A0005	16087	115	10	C	115	115115	770171,07	6797223,85	0	131	10	C	202	131202	783828,26	6791796,4	0	2018	1	9423	13,91
2018-01-01	A0005	4098	131	10	C	202	131202	783828,26	6791796,4	0	135	10	C	300	135300	787625,23	6792747,94	0	2018	1	11165	13,86
2018-01-01	A0005	22129	135	10	C	300	135300	787625,23	6792747,94	0	157	10	C	429	157429	807249,41	6787214,09	0	2018	1	19933	16,31
2018-01-01	A0005	23620	157	10	C	429	157429	807249,41	6787214,09	0	181	10	C	49	181049	828758,21	6781139,67	0	2018	1	19436	16,7
2018-01-01	A0005	311	181	10	C	49	181049	828758,21	6781139,67	0	181	10	C	360	181360	829052	6781048,26	0	2018	1	19436	16,7
2018-01-01	A0005	795	181	10	C	360	181360	829052	6781048,26	0	182	52	C	155	182155	829809,04	6780839,99	0	2018	1	19436	16,7
2018-01-01	A0005	515	182	52	C	155	182155	829809,04	6780839,99	0	182	52	C	670	182670	830335,95	6780828,5	0	2018	1	19436	16,7
2018-01-01	A0005	2425	182	52	C	670	182670	830335,95	6780828,5	0	185	10	C	95	185095	832763,39	6780586,31	0	2018	1	19436	16,7
